站点编号,监测时间,监测指标,数值,单位
ST01,2026-09-01 08:00:00,水位,12.45,m
ST01,2026-09-01 09:00:00,水位,12.43,m
ST01,2026-09-01 10:00:00,水位,12.45,m
ST01,2026-09-01 11:00:00,水位,12.42,m
ST01,2026-09-01 12:00:00,水位,12.33,m
ST01,2026-09-01 13:00:00,水位,12.31,m
ST01,2026-09-01 14:00:00,水位,13.8,m
ST01,2026-09-01 15:00:00,水位,12.2,m
ST01,2026-09-01 16:00:00,水位,12.13,m
ST01,2026-09-01 17:00:00,水位,12.16,m
ST01,2026-09-01 18:00:00,水位,12.2,m
ST01,2026-09-01 19:00:00,水位,12.23,m
ST01,2026-09-01 20:00:00,水位,12.1,m
ST01,2026-09-01 21:00:00,水位,12.1,m
ST01,2026-09-01 22:00:00,水位,12.1,m
ST01,2026-09-01 23:00:00,水位,12.1,m
ST01,2026-09-02 00:00:00,水位,12.45,m
ST01,2026-09-02 01:00:00,水位,12.41,m
ST01,2026-09-02 02:00:00,水位,99,m
ST01,2026-09-02 03:00:00,水位,12.31,m
ST01,2026-09-02 04:00:00,水位,12.19,m
ST01,2026-09-02 05:00:00,水位,12.2,m
ST01,2026-09-02 06:00:00,水位,12.13,m
ST01,2026-09-02 07:00:00,水位,12.17,m
ST01,2026-09-02 08:00:00,水位,12.2,m
ST01,2026-09-01 10:00:00,水位,12.62,m
ST01,2026-09-01 08:00:00,流量,50.48,m3/s
ST01,2026-09-01 09:00:00,流量,48.8,m3/s
ST01,2026-09-01 10:00:00,流量,46.46,m3/s
ST01,2026-09-01 11:00:00,流量,43.74,m3/s
ST01,2026-09-01 12:00:00,流量,41.34,m3/s
ST01,2026-09-01 13:00:00,流量,39.64,m3/s
ST01,2026-09-01 14:00:00,流量,38.98,m3/s
ST01,2026-09-01 15:00:00,流量,39.59,m3/s
ST01,2026-09-01 16:00:00,流量,41.18,m3/s
ST01,2026-09-01 17:00:00,流量,43.64,m3/s
ST01,2026-09-01 18:00:00,流量,46.27,m3/s
ST01,2026-09-01 19:00:00,流量,48.72,m3/s
ST01,2026-09-01 20:00:00,流量,50.4,m3/s
ST01,2026-09-01 21:00:00,流量,50.98,m3/s
ST01,2026-09-01 22:00:00,流量,50.44,m3/s
ST01,2026-09-01 23:00:00,流量,48.72,m3/s
ST01,2026-09-02 00:00:00,流量,46.37,m3/s
ST01,2026-09-02 01:00:00,流量,43.64,m3/s
ST01,2026-09-02 02:00:00,流量,41.26,m3/s
ST01,2026-09-02 03:00:00,流量,39.59,m3/s
ST01,2026-09-02 04:00:00,流量,38.98,m3/s
ST01,2026-09-02 05:00:00,流量,600,m3/s
ST01,2026-09-02 06:00:00,流量,41.26,m3/s
ST01,2026-09-02 07:00:00,流量,43.74,m3/s
ST01,2026-09-02 08:00:00,流量,46.37,m3/s
