站点编号,监测时间,监测指标,数值,单位
ST02,2026-09-01 08:00:00,水位,9.82,m
ST02,2026-09-01 09:00:00,水位,9.75,m
ST02,2026-09-01 10:00:00,水位,9.74,m
ST02,2026-09-01 11:00:00,水位,9.66,m
ST02,2026-09-01 14:00:00,水位,9.74,m
ST02,2026-09-01 15:00:00,水位,9.79,m
ST02,2026-09-01 16:00:00,水位,9.82,m
ST02,2026-09-01 17:00:00,水位,9.91,m
ST02,2026-09-01 18:00:00,水位,9.88,m
ST02,2026-09-01 19:00:00,水位,9.95,m
ST02,2026-09-02 06:00:00,水位,9.83,m
ST02,2026-09-02 07:00:00,水位,9.91,m
ST02,2026-09-02 08:00:00,水位,9.88,m
ST02,2026-09-01 09:00:00,水位,9.55,m
ST02,2026-09-01 08:00:00,流量,34.19,m3/s
ST02,2026-09-01 09:00:00,流量,33.18,m3/s
ST02,2026-09-01 10:00:00,流量,33.09,m3/s
ST02,2026-09-01 11:00:00,流量,33.97,m3/s
ST02,2026-09-01 12:00:00,流量,35.7,m3/s
ST02,2026-09-01 13:00:00,流量,37.8,m3/s
ST02,2026-09-01 14:00:00,流量,40.05,m3/s
ST02,2026-09-01 15:00:00,流量,33.5,m3/s
ST02,2026-09-01 16:00:00,流量,33.5,m3/s
ST02,2026-09-01 17:00:00,流量,33.5,m3/s
ST02,2026-09-01 18:00:00,流量,33.5,m3/s
ST02,2026-09-01 19:00:00,流量,40.31,m3/s
ST02,2026-09-01 20:00:00,流量,38.09,m3/s
ST02,2026-09-01 21:00:00,流量,35.97,m3/s
ST02,2026-09-01 22:00:00,流量,34.14,m3/s
ST02,2026-09-01 23:00:00,流量,33.16,m3/s
ST02,2026-09-02 00:00:00,流量,33.1,m3/s
ST02,2026-09-02 01:00:00,流量,34.02,m3/s
ST02,2026-09-02 02:00:00,流量,35.77,m3/s
ST02,2026-09-02 03:00:00,流量,37.89,m3/s
ST02,2026-09-02 04:00:00,流量,40.13,m3/s
ST02,2026-09-02 05:00:00,流量,41.84,m3/s
ST02,2026-09-02 06:00:00,流量,42.88,m3/s
ST02,2026-09-02 07:00:00,流量,42.88,m3/s
ST02,2026-09-02 08:00:00,流量,41.93,m3/s
