站点编号,监测时间,监测指标,数值,单位
ST03,2026-09-01 08:00:00,水位,7.98,m
ST03,2026-09-01 08:30:00,水位,8.06,m
ST03,2026-09-01 09:00:00,水位,8.04,m
ST03,2026-09-01 09:30:00,水位,8.12,m
ST03,2026-09-01 10:00:00,水位,8.15,m
ST03,2026-09-01 10:30:00,水位,8.17,m
ST03,2026-09-01 11:00:00,水位,8.22,m
ST03,2026-09-01 11:30:00,水位,8.17,m
ST03,2026-09-01 12:00:00,水位,8.2,m
ST03,2026-09-01 12:30:00,水位,8.11,m
ST03,2026-09-01 13:00:00,水位,9.5,m
ST03,2026-09-01 13:30:00,水位,8.05,m
ST03,2026-09-01 14:00:00,水位,8.01,m
ST03,2026-09-01 14:30:00,水位,8.02,m
ST03,2026-09-01 15:00:00,水位,7.98,m
ST03,2026-09-01 15:30:00,水位,8.06,m
ST03,2026-09-01 16:00:00,水位,8.04,m
ST03,2026-09-01 16:30:00,水位,8.13,m
ST03,2026-09-01 17:00:00,水位,8.15,m
ST03,2026-09-01 17:30:00,水位,8.18,m
ST03,2026-09-01 18:00:00,水位,8.05,m
ST03,2026-09-01 18:30:00,水位,8.05,m
ST03,2026-09-01 19:00:00,水位,8.05,m
ST03,2026-09-01 19:30:00,水位,8.05,m
ST03,2026-09-01 20:00:00,水位,8.05,m
ST03,2026-09-01 20:30:00,水位,8.05,m
ST03,2026-09-01 21:00:00,水位,8.01,m
ST03,2026-09-01 21:30:00,水位,8.02,m
ST03,2026-09-01 22:00:00,水位,7.98,m
ST03,2026-09-01 22:30:00,水位,8.06,m
ST03,2026-09-01 23:00:00,水位,8.04,m
ST03,2026-09-01 23:30:00,水位,8.13,m
ST03,2026-09-02 00:00:00,水位,8.14,m
ST03,2026-09-02 00:30:00,水位,8.18,m
ST03,2026-09-02 01:00:00,水位,8.22,m
ST03,2026-09-02 01:30:00,水位,8.17,m
ST03,2026-09-02 02:00:00,水位,8.2,m
ST03,2026-09-02 02:30:00,水位,8.11,m
ST03,2026-09-02 03:00:00,水位,8.11,m
ST03,2026-09-02 03:30:00,水位,8.04,m
ST03,2026-09-02 04:00:00,水位,8.01,m
ST03,2026-09-02 04:30:00,水位,8.02,m
ST03,2026-09-02 05:00:00,水位,7.98,m
ST03,2026-09-02 05:30:00,水位,8.06,m
ST03,2026-09-02 06:00:00,水位,8.04,m
ST03,2026-09-02 06:30:00,水位,8.13,m
ST03,2026-09-02 07:00:00,水位,8.14,m
ST03,2026-09-02 07:30:00,水位,8.18,m
ST03,2026-09-02 08:00:00,水位,8.21,m
ST03,2026-09-01 09:30:00,水位,8.22,m
ST03,2026-09-01 08:00:00,流量,117.2,m3/s
ST03,2026-09-01 08:30:00,流量,121.68,m3/s
ST03,2026-09-01 09:00:00,流量,125.76,m3/s
ST03,2026-09-01 09:30:00,流量,128.79,m3/s
ST03,2026-09-01 10:00:00,流量,129.96,m3/s
ST03,2026-09-01 10:30:00,流量,129.24,m3/s
ST03,2026-09-01 11:00:00,流量,126.62,m3/s
ST03,2026-09-01 11:30:00,流量,122.71,m3/s
ST03,2026-09-01 12:00:00,流量,118.28,m3/s
ST03,2026-09-01 12:30:00,流量,114.12,m3/s
ST03,2026-09-01 13:00:00,流量,111.23,m3/s
ST03,2026-09-01 13:30:00,流量,109.98,m3/s
ST03,2026-09-01 14:00:00,流量,110.83,m3/s
ST03,2026-09-01 14:30:00,流量,113.43,m3/s
ST03,2026-09-01 15:00:00,流量,117.36,m3/s
ST03,2026-09-01 15:30:00,流量,-4,m3/s
ST03,2026-09-01 16:00:00,流量,125.89,m3/s
ST03,2026-09-01 16:30:00,流量,128.87,m3/s
ST03,2026-09-01 17:00:00,流量,129.97,m3/s
ST03,2026-09-01 17:30:00,流量,129.18,m3/s
ST03,2026-09-01 18:00:00,流量,126.49,m3/s
ST03,2026-09-01 18:30:00,流量,122.55,m3/s
ST03,2026-09-01 19:00:00,流量,118.11,m3/s
ST03,2026-09-01 19:30:00,流量,113.99,m3/s
ST03,2026-09-01 20:00:00,流量,111.15,m3/s
ST03,2026-09-01 20:30:00,流量,109.98,m3/s
ST03,2026-09-01 21:00:00,流量,110.9,m3/s
ST03,2026-09-01 21:30:00,流量,113.55,m3/s
ST03,2026-09-01 22:00:00,流量,117.53,m3/s
ST03,2026-09-01 22:30:00,流量,122.01,m3/s
ST03,2026-09-01 23:00:00,流量,420,m3/s
ST03,2026-09-01 23:30:00,流量,128.94,m3/s
ST03,2026-09-02 00:00:00,流量,129.97,m3/s
ST03,2026-09-02 00:30:00,流量,129.11,m3/s
ST03,2026-09-02 01:00:00,流量,126.36,m3/s
ST03,2026-09-02 01:30:00,流量,122.39,m3/s
ST03,2026-09-02 02:00:00,流量,117.94,m3/s
ST03,2026-09-02 02:30:00,流量,113.85,m3/s
ST03,2026-09-02 03:00:00,流量,111.08,m3/s
ST03,2026-09-02 03:30:00,流量,109.97,m3/s
ST03,2026-09-02 04:00:00,流量,110.97,m3/s
ST03,2026-09-02 04:30:00,流量,113.68,m3/s
ST03,2026-09-02 05:00:00,流量,117.69,m3/s
ST03,2026-09-02 05:30:00,流量,122.17,m3/s
ST03,2026-09-02 06:00:00,流量,126.17,m3/s
ST03,2026-09-02 06:30:00,流量,129.02,m3/s
ST03,2026-09-02 07:00:00,流量,129.97,m3/s
ST03,2026-09-02 07:30:00,流量,129.04,m3/s
ST03,2026-09-02 08:00:00,流量,126.23,m3/s
